step,objects,heap_used,fragmentation,roots,pinned,query_shape,hit_at_1,hit_at_3,mrr_increment,gc_cycles_total,gc_cycles_delta,gc_freed
1,1,323,0.0,0,0,formation,0,0,0.0,0,0,0
2,2,648,0.0,0,0,disk,0,0,0.0,0,0,0
3,3,965,0.0,0,0,circle,0,0,0.0,0,0,0
4,4,1284,0.0,0,0,cigar,0,0,0.0,0,0,0
5,5,1599,0.0,0,0,light,0,0,0.0,0,0,0
6,6,1914,0.0,0,0,light,0,0,0.0,0,0,0
7,7,2235,0.0,0,0,fireball,0,0,0.0,0,0,0
8,8,2558,0.0,0,0,triangle,0,0,0.0,0,0,0
9,9,2867,0.0,0,0,oval,0,0,0.0,0,0,0
10,10,3176,0.0,0,0,disk,0,0,0.0,0,0,0
11,11,3493,0.0,0,0,oval,0,0,0.0,0,0,0
12,12,3818,0.0,0,0,disk,0,0,0.0,0,0,0
13,13,4135,0.0,0,0,disk,0,0,0.0,0,0,0
14,14,4460,0.0,0,0,rectangle,0,0,0.0,0,0,0
15,15,4775,0.0,0,0,diamond,1,1,1.0,0,0,0
16,16,5098,0.0,0,0,formation,0,0,0.0,0,0,0
17,17,5411,0.0,0,0,disk,0,0,0.0,0,0,0
18,18,5726,0.0,0,0,cigar,0,0,0.0,0,0,0
19,19,6041,0.0,0,0,oval,0,0,0.0,0,0,0
20,20,6364,0.0,0,0,cigar,0,0,0.0,0,0,0
21,21,6675,0.0,0,0,light,0,0,0.0,0,0,0
22,22,6990,0.0,0,0,disk,0,0,0.0,0,0,0
23,23,7309,0.0,0,0,disk,0,0,0.0,0,0,0
24,24,7624,0.0,0,0,disk,0,0,0.0,0,0,0
25,25,7933,0.0,0,0,circle,0,0,0.0,0,0,0
26,1,309,0.0,0,0,disk,0,0,0.0,1,1,25
27,2,670,0.0,0,0,light,0,0,0.0,1,0,0
28,3,983,0.0,0,0,sphere,0,0,0.0,1,0,0
29,4,1298,0.0,0,0,light,0,0,0.0,1,0,0
30,5,1621,0.0,0,0,oval,1,1,1.0,1,0,0
31,6,1936,0.0,0,0,light,0,0,0.0,1,0,0
32,7,2259,0.0,0,0,light,0,0,0.0,1,0,0
33,8,2580,0.0,0,0,formation,0,0,0.0,1,0,0
34,9,2899,0.0,0,0,formation,0,0,0.0,1,0,0
35,10,3216,0.0,0,0,sphere,0,0,0.0,1,0,0
36,11,3537,0.0,0,0,disk,0,0,0.0,1,0,0
37,12,3850,0.0,0,0,disk,0,0,0.0,1,0,0
38,13,4177,0.0,0,0,fireball,0,0,0.0,1,0,0
39,14,4494,0.0,0,0,,0,0,0.0,1,0,0
40,15,4809,0.0,0,0,disk,0,0,0.0,1,0,0
41,16,5120,0.0,0,0,disk,0,0,0.0,1,0,0
42,17,5425,0.0,0,0,oval,0,0,0.0,1,0,0
43,18,5742,0.0,0,0,circle,0,0,0.0,1,0,0
44,19,6055,0.0,0,0,circle,0,0,0.0,1,0,0
45,20,6370,0.0,0,0,cigar,1,1,1.0,1,0,0
46,21,6675,0.0,0,0,disk,0,0,0.0,1,0,0
47,22,6990,0.0,0,0,light,0,0,0.0,1,0,0
48,23,7301,0.0,0,0,oval,0,0,0.0,1,0,0
49,24,7616,0.0,0,0,cigar,0,0,0.0,1,0,0
50,25,7939,0.0,0,0,triangle,0,0,0.0,1,0,0
51,1,317,0.0,0,0,light,0,0,0.0,2,1,25
52,2,634,0.0,0,0,light,0,0,0.0,2,0,0
53,3,949,0.0,0,0,circle,0,0,0.0,2,0,0
54,4,1258,0.0,0,0,disk,0,0,0.0,2,0,0
55,5,1579,0.0,0,0,cigar,0,0,0.0,2,0,0
56,6,1903,0.0,0,0,triangle,0,0,0.0,2,0,0
57,7,2222,0.0,0,0,oval,0,0,0.0,2,0,0
58,8,2545,0.0,0,0,disk,0,0,0.0,2,0,0
59,9,2850,0.0,0,0,disk,0,0,0.0,2,0,0
60,10,3165,0.0,0,0,sphere,1,1,1.0,2,0,0
61,11,3492,0.0,0,0,disk,0,0,0.0,2,0,0
62,12,3811,0.0,0,0,disk,0,0,0.0,2,0,0
63,13,4136,0.0,0,0,fireball,0,0,0.0,2,0,0
64,14,4447,0.0,0,0,disk,0,0,0.0,2,0,0
65,15,4770,0.0,0,0,oval,0,0,0.0,2,0,0
66,16,5083,0.0,0,0,,0,0,0.0,2,0,0
67,17,5432,0.0,0,0,formation,0,0,0.0,2,0,0
68,18,5757,0.0,0,0,formation,0,0,0.0,2,0,0
69,19,6076,0.0,0,0,disk,0,0,0.0,2,0,0
70,20,6391,0.0,0,0,,0,0,0.0,2,0,0
71,21,6705,0.0,0,0,cylinder,0,0,0.0,2,0,0
72,22,7018,0.0,0,0,circle,0,0,0.0,2,0,0
73,23,7339,0.0,0,0,formation,0,0,0.0,2,0,0
74,24,7654,0.0,0,0,,0,0,0.0,2,0,0
75,25,7977,0.0,0,0,other,1,1,1.0,2,0,0
76,1,315,0.0,0,0,egg,0,0,0.0,3,1,25
77,2,636,0.0,0,0,chevron,0,0,0.0,3,0,0
78,3,947,0.0,0,0,disk,0,0,0.0,3,0,0
79,4,1274,0.0,0,0,,0,0,0.0,3,0,0
80,5,1587,0.0,0,0,sphere,0,0,0.0,3,0,0
81,6,1906,0.0,0,0,disk,0,0,0.0,3,0,0
82,7,2231,0.0,0,0,cigar,0,0,0.0,3,0,0
83,8,2544,0.0,0,0,disk,0,0,0.0,3,0,0
84,9,2865,0.0,0,0,other,0,0,0.0,3,0,0
85,10,3172,0.0,0,0,sphere,0,0,0.0,3,0,0
86,11,3483,0.0,0,0,oval,0,0,0.0,3,0,0
87,12,3805,0.0,0,0,circle,0,0,0.0,3,0,0
88,13,4130,0.0,0,0,cylinder,0,0,0.0,3,0,0
89,14,4445,0.0,0,0,sphere,0,0,0.0,3,0,0
90,15,4762,0.0,0,0,disk,1,1,1.0,3,0,0
91,16,5071,0.0,0,0,disk,0,0,0.0,3,0,0
92,17,5386,0.0,0,0,light,0,0,0.0,3,0,0
93,18,5705,0.0,0,0,sphere,0,0,0.0,3,0,0
94,19,6024,0.0,0,0,disk,0,0,0.0,3,0,0
95,20,6349,0.0,0,0,other,0,0,0.0,3,0,0
96,21,6662,0.0,0,0,disk,0,0,0.0,3,0,0
97,22,6981,0.0,0,0,circle,0,0,0.0,3,0,0
98,23,7294,0.0,0,0,disk,0,0,0.0,3,0,0
99,24,7609,0.0,0,0,cigar,0,0,0.0,3,0,0
100,25,7934,0.0,0,0,disk,0,0,0.0,3,0,0
101,1,325,0.0,0,0,other,0,0,0.0,4,1,25
